R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear
0.248,0.317,0.64,212,13.467,1,20,21153,23569,11708,61109
0.036,0.811,0.71,212,13.483,1,20,23377,55096,6207,65535
0.806,0.234,0.296,212,13.483,1,20,10558,18022,27610,58082
0.762,0.499,0.325,212,13.483,1,20,11505,34956,26745,65535
0.382,0.24,0.735,212,13.483,1,20,23927,18633,15490,59742
0.676,0.108,0.242,212,13.483,1,20,8922,10379,23816,49199
0.696,0.724,0.106,212,13.483,1,20,4999,49291,24911,65535
0.294,0.088,0.902,212,13.483,1,20,28797,9169,12989,57889
0.497,0.514,0.549,212,13.483,1,20,18534,36192,19134,65535
0.554,0.056,0.26,212,13.483,1,20,9538,7151,20371,45352
0.567,0.634,0.342,212,13.483,1,20,12242,43857,21372,65535
0.862,0.023,0.951,212,13.483,1,20,30381,5559,29619,65535
0.782,0.444,0.427,212,13.483,1,20,14750,31804,27472,65535
0.752,0.661,0.184,212,13.5,1,20,7448,45541,26648,65535
0.237,0.867,0.401,212,13.5,1,20,13953,58379,11943,65535
0.983,0.18,0.922,212,13.5,1,20,29533,15133,33384,65535
0.091,0.615,0.651,212,13.5,1,20,21380,42199,7620,65535
0.331,0.007,0.09,212,13.5,1,20,4292,3866,13438,33200
0.182,0.525,0.5,212,13.5,1,20,16803,36623,10134,65535
0.017,0.585,0.868,212,13.5,1,20,28131,40883,5672,65535
0.608,0.347,0.488,212,13.5,1,20,16437,25397,22217,62359
0.848,0.388,0.454,212,13.5,1,20,15594,28554,29402,65535
0.622,0.777,0.158,212,13.5,1,20,6642,52838,22977,65535
0.88,0.996,0.975,212,13.5,1,20,31483,65535,31717,65535
0.475,0.713,0.796,212,13.517,1,20,26121,49332,19268,65535
0.959,0.759,0.034,212,13.517,1,20,3021,51679,32952,65535
0.506,0.4,0.835,212,13.517,1,20,27008,29156,19601,65535
0.726,0.067,0.206,212,13.517,1,20,7941,7886,25248,48967
0.969,0.154,0.777,212,13.517,1,20,25431,13648,33077,65535
0.822,0.217,0.392,212,13.517,1,20,13788,17725,28475,60792
0.058,0.565,0.308,212,13.517,1,20,11144,39237,6663,63047
0.313,0.834,0.178,212,13.517,1,20,7453,56703,14383,65535
0.708,0.293,0.378,212,13.517,1,20,13258,22199,25498,60888
0.137,0.172,0.888,212,13.517,1,20,28618,15090,9108,61033
0.582,0.922,0.86,212,13.517,1,20,28114,62518,22811,65535
0.075,0.881,0.561,212,13.517,1,20,18953,59624,7765,65535
0.17,0.426,0.81,212,13.533,1,20,26413,30779,9981,65535
0.117,0.339,0.068,212,13.533,1,20,3889,24926,7989,47288
0.261,0.914,0.235,212,13.533,1,20,9205,61676,12974,65535
0.4,0.478,0.531,212,13.533,1,20,17987,34152,16549,65535
0.202,0.264,0.753,212,13.533,1,20,24651,20518,10683,59531
0.653,0.688,0.009,212,13.533,1,20,2330,47277,24224,65535
0.366,0.64,0.665,212,13.533,1,20,22208,44653,15963,65535
0.531,0.97,0.604,212,13.533,1,20,20486,65535,21282,65535
0.936,0.137,0.688,212,13.533,1,20,22745,12908,32251,65535
0.427,0.55,0.13,212,13.533,1,20,5939,38751,17364,64714
0.913,0.847,0.055,212,13.533,1,20,3902,57667,32147,65535
0.453,0.368,0.462,212,13.533,1,20,15933,27102,18115,61868
0.341,0.955,0.985,212,13.55,1,20,31926,64775,16234,65535
0.144,0.79,0.599,212,13.55,1,20,20349,54171,9986,65535
