R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.2,0.6,301,13.102,0,2,18729,14381,16374,44478,20251028
0.6,0.2,0.8,301,13.103,0,2,24921,14313,19206,52824,20251028
0.2,0.4,0.1,301,13.104,0,2,3789,26574,7338,33901,20251028
0.5,1,0.5,301,13.106,0,2,16112,65340,17163,65535,20251028
0.1,0.5,0.2,301,13.107,0,2,6789,32862,4750,39845,20251028
0.2,0.5,1,301,13.108,0,2,31067,33087,8264,64855,20251028
0.9,0.4,0,301,13.109,0,2,730,27069,27667,47611,20251028
0.5,0.2,0.7,301,13.111,0,2,21708,14213,16266,46780,20251028
0.6,0,0.1,301,13.112,0,2,3688,1056,18416,22813,20251028
0.7,0.4,0.1,301,13.113,0,2,3806,26691,21873,45386,20251028
0.8,0.5,0.3,301,13.114,0,2,9920,33230,25001,56447,20251028
0.9,0.5,0.8,301,13.116,0,2,25003,33493,28437,65535,20251028
0.7,0.4,0.6,301,13.117,0,2,18866,26786,22218,57352,20251028
0.3,0.5,0.8,301,13.118,0,2,25002,33030,10790,60131,20251028
1,1,0.6,301,13.119,0,2,19249,65511,32095,65535,20251028
0.3,0.1,0.9,301,13.121,0,2,27812,7945,10297,43004,20251028
0.8,0.1,1,301,13.122,0,2,30910,8148,25044,57764,20251028
0.4,0.3,0.8,301,13.123,0,2,24915,20568,13411,51274,20251028
0.8,0,0.8,301,13.125,0,2,24879,1626,25423,48858,20251028
0.2,0.4,0.9,301,13.126,0,2,27965,26879,8512,57282,20251028
0.4,0.2,0.1,301,13.127,0,2,3788,13932,13620,30249,20251028
0.7,0.1,0.1,301,13.129,0,2,3809,7849,22124,32197,20251028
0.9,0.7,0.1,301,13.13,0,2,4034,46029,28816,65535,20251028
0.3,0.6,0.1,301,13.131,0,2,3941,39171,11274,48319,20251028
0.5,0.1,0.7,301,13.132,0,2,21750,8281,16832,44740,20251028
0.5,0.5,0.5,301,14.718,0,0,15833,32977,16206,54301,20251028
