R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,304,9.258,1,30,15883,33320,17088,56106,20251031
0.2,0.5,0.5,304,9.259,1,30,15906,33186,8183,50518,20251031
0.2,0.8,0.8,304,9.261,1,30,25011,52288,8904,65535,20251031
0.4,0.2,0.2,304,9.262,1,30,6761,14144,13398,32775,20251031
0.5,0.2,0.5,304,9.263,1,30,15960,14485,16609,44858,20251031
0.2,0.1,0.8,304,9.265,1,30,24942,8658,8416,42116,20251031
0.9,0.4,0.0,304,9.266,1,30,937,27134,28452,50705,20251031
0.3,0.5,0.6,304,9.267,1,30,18976,33285,11385,57018,20251031
0.8,0.1,0.5,304,9.269,1,30,16016,8565,25437,46280,20251031
0.9,0.1,0.6,304,9.27,1,30,18959,8730,28641,52825,20251031
0.0,0.9,0.6,304,9.271,1,30,19279,59131,3400,65535,20251031
0.1,0.9,0.9,304,9.273,1,30,28300,59342,6821,65535,20251031
0.7,0.9,0.3,304,9.274,1,30,10182,59192,23532,65535,20251031
0.3,0.3,0.1,304,9.275,1,30,3900,20406,10917,33450,20251031
0.7,0.9,0.6,304,9.276,1,30,19061,58958,23520,65535,20251031
0.4,0.7,0.1,304,9.278,1,30,3990,45869,14019,55377,20251031
0.3,0.8,0.3,304,9.279,1,30,9937,52169,11377,63898,20251031
0.8,0.2,0.5,304,9.28,1,30,15937,14467,25326,49391,20251031
0.2,0.6,0.0,304,9.282,1,30,789,39505,8065,42969,20251031
0.6,0.7,0.5,304,9.283,1,30,15998,46058,20023,65535,20251031
0.2,0.6,1.0,304,9.284,1,30,31166,40041,8507,65535,20251031
0.2,1.0,0.9,304,9.285,1,30,28100,65517,9089,65535,20251031
0.6,0.3,0.9,304,9.287,1,30,27853,20897,19686,59478,20251031
0.1,0.4,1.0,304,9.288,1,30,31084,27049,5464,57952,20251031
0.3,0.2,0.8,304,9.289,1,30,24897,14191,10904,45772,20251031
0.5,0.5,0.5,304,18.98,1,51,15455,32647,15636,51204,20251031
0.6,0.6,0.8,304,18.981,1,51,24451,38846,19119,65535,20251031
0.0,0.1,0.5,304,18.982,1,51,15139,6987,498,19827,20251031
0.7,0.9,0.4,304,18.984,1,51,12532,57762,21874,65535,20251031
1.0,0.3,0.9,304,18.985,1,51,27390,19999,30590,63989,20251031
0.0,0.7,0.3,304,18.986,1,51,9415,44918,1133,44573,20251031
0.7,0.2,0.6,304,18.988,1,51,18373,13397,21175,43837,20251031
0.8,0.9,0.9,304,18.989,1,51,27604,58098,25390,65535,20251031
0.8,0.0,0.7,304,18.99,1,51,21235,685,24012,38511,20251031
0.7,0.6,0.4,304,18.991,1,51,12527,38646,21576,57941,20251031
0.6,0.2,0.8,304,18.993,1,51,24287,13608,18384,47195,20251031
0.9,0.4,0.4,304,18.994,1,51,12441,26262,27209,52261,20251031
0.6,0.4,0.9,304,18.995,1,51,27500,26261,18742,59595,20251031
0.7,0.7,0.3,304,18.997,1,51,9472,45078,21620,60462,20251031
0.6,0.9,0.3,304,18.998,1,51,9558,57921,18903,65535,20251031
0.1,0.0,0.8,304,18.999,1,51,24195,418,3692,25211,20251031
0.2,0.3,1.0,304,19.001,1,51,30540,19863,7166,49097,20251031
0.5,0.1,0.3,304,19.002,1,51,9223,6964,14955,25541,20251031
0.2,0.8,0.9,304,19.003,1,51,27631,51550,7740,65535,20251031
0.8,0.9,0.6,304,19.005,1,51,18643,58083,25114,65535,20251031
0.8,0.5,0.7,304,19.006,1,51,21381,32479,24720,63924,20251031
0.4,0.8,0.2,304,19.007,1,51,6386,51328,12961,56302,20251031
0.6,0.5,0.1,304,19.008,1,51,3363,32184,18234,42332,20251031
0.2,0.2,0.5,304,19.01,1,51,15297,13178,6663,29586,20251031
0.2,0.8,0.7,304,19.011,1,51,21462,51367,7575,65535,20251031
