R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear
0.0,0.0,0.0,210,16.483,2,75,626,1123,2272,8518
0.0,0.0,0.05263157894736842,210,16.483,2,75,2406,1154,2318,10184
0.0,0.0,0.10526315789473684,210,16.5,2,75,3947,1182,2363,11783
0.0,0.0,0.15789473684210525,210,16.5,2,75,5487,1204,2398,13179
0.0,0.0,0.21052631578947367,210,16.5,2,75,7099,1229,2436,14730
0.0,0.0,0.2631578947368421,210,16.5,2,75,8809,1254,2470,16075
0.0,0.0,0.3157894736842105,210,16.5,2,75,10360,1276,2504,17556
0.0,0.0,0.3684210526315789,210,16.5,2,75,11888,1293,2535,19025
0.0,0.0,0.42105263157894735,210,16.5,2,75,13530,1315,2570,20506
0.0,0.0,0.47368421052631576,210,16.5,2,75,15152,1336,2605,22121
0.0,0.0,0.5263157894736842,210,16.5,2,75,16842,1357,2639,23706
0.0,0.0,0.5789473684210527,210,16.5,2,75,18345,1376,2666,24910
0.0,0.0,0.631578947368421,210,16.5,2,75,19952,1397,2701,26513
0.0,0.0,0.6842105263157894,210,16.5,2,75,21554,1418,2735,27995
0.0,0.0,0.7368421052631579,210,16.5,2,75,22969,1435,2768,29491
0.0,0.0,0.7894736842105263,210,16.5,2,75,24748,1455,2798,31012
0.0,0.0,0.8421052631578947,210,16.5,2,75,26186,1477,2829,32319
0.0,0.0,0.894736842105263,210,16.517,2,75,27871,1501,2868,33957
0.0,0.0,0.9473684210526315,210,16.517,2,75,29288,1521,2903,35476
0.0,0.0,1.0,210,16.517,2,75,31163,1550,2943,37126
