R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear
0.147,0.372,0.394,210,17.6,1,20,12897,25180,7587,43114
0.147,0.372,0.394,210,17.6,1,20,12826,25183,7700,43091
0.147,0.372,0.394,210,17.6,1,20,12834,25273,7634,43074
0.147,0.372,0.394,210,17.6,1,20,12845,25206,7483,41880
0.147,0.372,0.394,210,17.6,1,20,12822,25169,7557,43337
0.147,0.372,0.394,210,17.6,1,20,12728,24977,7702,43500
0.147,0.372,0.394,210,17.6,1,20,12959,25332,7605,43339
0.147,0.372,0.394,210,17.6,1,20,12777,25172,7641,43799
0.147,0.372,0.394,210,17.6,1,20,12837,25170,7684,43611
0.147,0.372,0.394,210,17.6,1,20,12866,25218,7526,42983
0.147,0.372,0.394,210,17.6,1,20,12969,25432,7521,43063
0.147,0.372,0.394,210,17.617,1,20,12824,25143,7723,44151
0.147,0.372,0.394,210,17.617,1,20,12981,25462,7733,44065
0.147,0.372,0.394,210,17.617,1,20,12964,25381,7689,43953
0.147,0.372,0.394,210,17.617,1,20,12835,25199,7673,44244
0.147,0.372,0.394,210,17.617,1,20,12799,25288,7677,44213
0.147,0.372,0.394,210,17.617,1,20,12860,25201,7745,44209
0.147,0.372,0.394,210,17.617,1,20,12841,25168,7722,43968
0.147,0.372,0.394,210,17.617,1,20,12905,25166,7730,44178
0.147,0.372,0.394,210,17.617,1,20,12852,25158,7763,44413
0.147,0.372,0.394,210,17.617,1,20,12778,25069,7661,43923
0.147,0.372,0.394,210,17.617,1,20,12939,25275,7710,44067
0.147,0.372,0.394,210,17.617,1,20,12824,25082,7723,44164
0.147,0.372,0.394,210,17.617,1,20,12911,25246,7743,44123
0.147,0.372,0.394,210,17.617,1,20,12946,25320,7608,42690
0.147,0.372,0.394,210,17.633,1,20,12793,25247,7710,43797
0.147,0.372,0.394,210,17.633,1,20,12913,25278,7592,44139
0.147,0.372,0.394,210,17.633,1,20,12817,25117,7548,42598
0.147,0.372,0.394,210,17.633,1,20,12764,25136,7740,44372
0.147,0.372,0.394,210,17.633,1,20,12884,25254,7712,44104
0.147,0.372,0.394,210,17.633,1,20,12856,25161,7720,43124
0.147,0.372,0.394,210,17.633,1,20,13040,25752,7870,43835
0.147,0.372,0.394,210,17.633,1,20,12923,25304,7566,44298
0.147,0.372,0.394,210,17.633,1,20,12895,25260,7622,43420
0.147,0.372,0.394,210,17.633,1,20,12855,25177,7742,44332
0.147,0.372,0.394,210,17.633,1,20,12888,25343,7633,44464
0.147,0.372,0.394,210,17.633,1,20,12999,25323,7651,44299
0.147,0.372,0.394,210,17.633,1,20,12767,25081,7731,43359
0.147,0.372,0.394,210,17.633,1,20,12829,25031,7728,44383
0.147,0.372,0.394,210,17.633,1,20,12782,25170,7665,44024
0.147,0.372,0.394,210,17.65,1,20,12848,25302,7573,43607
0.147,0.372,0.394,210,17.65,1,20,12965,25286,7783,44360
0.147,0.372,0.394,210,17.65,1,20,12797,25179,7721,44192
0.147,0.372,0.394,210,17.65,1,20,12916,25327,7703,44130
0.147,0.372,0.394,210,17.65,1,20,12778,25297,7716,44508
0.147,0.372,0.394,210,17.65,1,20,12954,25354,7706,43932
0.147,0.372,0.394,210,17.65,1,20,12843,25246,7702,42853
0.147,0.372,0.394,210,17.65,1,20,12793,25242,7684,44727
0.147,0.372,0.394,210,17.65,1,20,12844,25178,7717,43917
0.147,0.372,0.394,210,17.65,1,20,12942,25500,7681,44066
