R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear
0.0,0.0,0.0,210,16.45,2,75,549,956,2074,7399
0.0,0.05263157894736842,0.0,210,16.45,2,75,570,4691,2150,10427
0.0,0.10526315789473684,0.0,210,16.45,2,75,588,8143,2219,13052
0.0,0.15789473684210525,0.0,210,16.45,2,75,605,11402,2293,15842
0.0,0.21052631578947367,0.0,210,16.45,2,75,623,14675,2363,18449
0.0,0.2631578947368421,0.0,210,16.45,2,75,641,17876,2434,21020
0.0,0.3157894736842105,0.0,210,16.45,2,75,659,21210,2502,23673
0.0,0.3684210526315789,0.0,210,16.45,2,75,676,24606,2570,26378
0.0,0.42105263157894735,0.0,210,16.45,2,75,694,27785,2646,29295
0.0,0.47368421052631576,0.0,210,16.45,2,75,713,31364,2709,31794
0.0,0.5263157894736842,0.0,210,16.45,2,75,731,34616,2781,34517
0.0,0.5789473684210527,0.0,210,16.45,2,75,750,38119,2852,37347
0.0,0.631578947368421,0.0,210,16.467,2,75,767,41597,2919,39961
0.0,0.6842105263157894,0.0,210,16.467,2,75,785,44754,2990,42659
0.0,0.7368421052631579,0.0,210,16.467,2,75,803,47994,3068,45660
0.0,0.7894736842105263,0.0,210,16.467,2,75,824,51583,3132,48100
0.0,0.8421052631578947,0.0,210,16.467,2,75,843,54959,3209,51024
0.0,0.894736842105263,0.0,210,16.467,2,75,861,58079,3280,53651
0.0,0.9473684210526315,0.0,210,16.467,2,75,881,61486,3361,56590
0.0,1.0,0.0,210,16.467,2,75,904,65190,3441,59532
