R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear
0.0,0.0,0.0,212,13.326,1,96,844,1689,2127,13266
0.9,0.5,0.6,212,13.911,1,100,19888,35221,30901,65535
1.0,0.8,0.2,212,13.911,1,100,7964,54316,34207,65535
0.8,1.0,0.6,212,13.911,1,100,20253,65535,28784,65535
0.0,0.1,0.9,212,13.911,1,100,28791,9686,3991,53746
0.1,0.8,0.4,212,13.912,1,100,14095,53948,7743,65535
0.0,0.0,0.0,213,13.491,1,37,1019,1893,2197,16726
0.4,0.2,0.6,213,13.496,1,37,19354,15527,14892,50879
0.1,0.7,1.0,213,13.496,1,37,31800,47072,6996,65535
0.0,0.2,0.5,213,13.496,1,37,16302,15357,2887,42047
0.7,0.3,0.1,213,13.496,1,37,4478,21675,23511,50772
0.4,0.2,0.8,213,13.497,1,37,25434,15620,15069,56698
0.0,0.0,0.0,213,13.737,1,34,719,1332,1528,9881
1.0,1.0,0.9,213,13.737,1,34,28488,65535,33202,65535
0.5,0.2,0.6,213,13.737,1,34,19012,14938,17139,49380
0.6,0.1,0.5,213,13.738,1,34,15993,8453,19677,43498
0.4,0.5,0.5,213,13.738,1,34,16296,33827,14312,57476
0.8,1.0,0.7,213,13.738,1,34,22617,65535,27085,65535
0.5,0.7,0.7,213,13.74,1,34,22420,46606,17686,65535
1.0,0.1,0.5,213,13.741,1,34,16150,8702,31783,52232
0.7,0.9,0.1,213,13.741,1,34,4286,58886,23418,65535
0.4,0.4,0.6,213,13.741,1,34,19145,27214,14369,54833
0.3,0.9,0.6,213,13.741,1,34,19454,59302,11939,65535
0.0,1.0,0.2,213,13.742,1,34,7243,65535,3003,65535
1.0,0.5,0.6,213,13.742,1,34,19276,33918,32395,65535
0.5,0.1,0.6,213,13.742,1,34,19074,8517,16848,44229
0.4,0.9,0.2,213,13.743,1,34,7281,59094,14655,65535
0.1,0.6,0.7,213,13.743,1,34,22381,40126,5962,63430
0.2,0.4,0.2,213,13.743,1,34,7003,27024,8329,40226
0.9,0.6,0.9,213,13.744,1,34,28427,40533,29532,65535
0.9,0.7,0.5,213,13.744,1,34,16252,46559,29438,65535
0.3,0.0,0.4,213,13.744,1,34,12963,1695,10878,28702
0.8,0.5,0.4,213,13.744,1,34,13129,33785,26204,61709
0.7,0.0,0.7,213,13.745,1,34,21989,2021,22932,46566
1.0,0.3,0.8,213,13.745,1,34,25212,21603,32364,65535
0.6,0.1,0.4,213,13.745,1,34,12981,8599,19946,41079
0.7,0.9,0.7,213,13.746,1,34,22476,59403,23979,65535
0.1,0.1,0.8,213,13.746,1,34,25145,8390,5458,41109
1.0,0.7,0.9,213,13.746,1,34,28459,46799,32968,65535
0.4,0.7,0.5,213,13.747,1,34,16370,46503,14617,65535
0.8,0.3,0.8,213,13.747,1,34,25375,21291,26183,65535
0.3,0.3,0.8,213,13.747,1,34,25142,21132,11614,53621
0.7,0.4,0.8,213,13.747,1,34,25169,27579,23492,65535
0.1,0.4,0.6,213,13.748,1,34,19117,27240,5695,50916
0.3,0.5,0.1,213,13.748,1,34,4177,33465,11380,45793
0.3,0.8,0.9,213,13.748,1,34,28368,52909,12455,65535
0.9,0.0,1.0,213,13.749,1,34,31358,2274,28933,59891
0.7,0.7,0.5,213,13.749,1,34,16413,46864,23583,65535
0.7,0.4,0.4,213,13.751,1,34,13150,27474,23336,55142
0.4,0.5,0.8,213,13.754,1,34,25415,34050,14663,65178
0.2,0.1,0.5,213,13.757,1,34,16202,8386,8059,35125
0.5,0.5,0.8,213,13.76,1,34,25206,33590,17475,65535
0.8,0.5,0.6,213,13.763,1,34,19224,33795,26170,65535
0.8,0.3,0.6,213,13.766,1,34,19184,21157,25890,57751
0.9,0.9,0.5,213,13.769,1,34,16275,59183,29573,65535
1.0,0.8,0.9,213,13.773,1,34,28468,53231,32844,65535
0.0,0.1,0.1,213,13.776,1,34,4051,8274,1797,20561
1.0,1.0,0.0,213,13.779,1,34,1191,65535,32545,65535
0.0,0.0,0.0,210,16.483,2,75,626,1123,2272,8518
0.0,0.0,0.0526315789473684,210,16.483,2,75,2406,1154,2318,10184
0.0,0.0,0.1052631578947368,210,16.5,2,75,3947,1182,2363,11783
0.0,0.0,0.1578947368421052,210,16.5,2,75,5487,1204,2398,13179
