R,G,B,day_of_year,time_of_day,weather_index,cloud_cover_percent,I_445,I_515,I_630,I_clear,date
0.5,0.5,0.5,303,9.665,2,100,15688,32834,16375,53802,20251030
0.7,1.0,0.3,303,9.666,2,100,9772,65060,22955,65535,20251030
0.8,1.0,0.3,303,9.667,2,100,9846,65055,25731,65535,20251030
0.8,0.5,1.0,303,9.669,2,100,30957,33207,25501,65535,20251030
1.0,0.5,1.0,303,9.67,2,100,30978,33237,31645,65535,20251030
0.5,0.2,0.3,303,9.671,2,100,9705,13864,15778,34241,20251030
0.1,0.1,0.2,303,9.672,2,100,6485,7303,4091,17907,20251030
0.8,0.2,0.9,303,9.674,2,100,27667,14063,25056,58625,20251030
0.9,0.5,1.0,303,9.675,2,100,30968,33227,28483,65535,20251030
0.0,0.4,0.7,303,9.676,2,100,21711,26638,1692,44447,20251030
0.8,0.3,0.5,303,9.678,2,100,15555,20297,24870,51185,20251030
0.2,0.1,0.4,303,9.679,2,100,12433,7474,7142,25588,20251030
0.8,0.3,0.4,303,9.68,2,100,12675,20211,24818,48959,20251030
0.6,0.0,0.9,303,9.682,2,100,27648,1212,18819,43351,20251030
0.3,0.1,0.1,303,9.683,2,100,3490,7433,9793,19530,20251030
0.8,0.2,0.7,303,9.684,2,100,21535,14182,24878,52886,20251030
0.1,0.2,0.9,303,9.685,2,100,27647,13704,4688,42352,20251030
0.5,0.1,0.7,303,9.686,2,100,21608,7683,15905,40742,20251030
0.3,0.2,0.4,303,9.688,2,100,12562,13792,10215,33033,20251030
0.2,0.9,0.5,303,9.689,2,100,15855,58348,8271,65535,20251030
0.7,0.8,0.5,303,9.69,2,100,15875,52116,22579,65535,20251030
0.4,0.9,0.7,303,9.691,2,100,22008,58587,14028,65535,20251030
0.3,0.2,0.5,303,9.693,2,100,15676,13641,10043,35666,20251030
0.3,0.2,0.4,303,9.694,2,100,12605,13860,10058,31973,20251030
0.5,0.2,0.2,303,9.695,2,100,6600,13665,15787,32117,20251030
0.5,0.5,0.5,303,14.587,2,100,15758,33069,16849,54746,20251030
0.1,0.9,0.3,303,14.588,2,100,9859,58306,5456,63134,20251030
0.4,0.5,0.8,303,14.589,2,100,24828,33182,14099,61699,20251030
0.6,0.9,0.5,303,14.591,2,100,15951,58525,20081,65535,20251030
0.1,0.9,0.0,303,14.592,2,100,724,58149,5222,54470,20251030
0.5,0.6,0.5,303,14.593,2,100,15915,39654,16688,59357,20251030
0.1,0.5,0.0,303,14.594,2,100,572,32526,4703,33601,20251030
0.6,0.2,0.9,303,14.596,2,100,27743,14282,19356,54743,20251030
0.1,0.1,0.8,303,14.597,2,100,24609,7880,4709,35983,20251030
0.9,0.6,0.8,303,14.598,2,100,24839,39627,28696,65535,20251030
0.5,0.5,0.3,303,14.599,2,100,9726,32866,16314,48994,20251030
0.5,0.4,0.9,303,14.601,2,100,27806,26866,16584,60982,20251030
0.1,0.7,0.4,303,14.602,2,100,12700,45469,5167,55251,20251030
0.1,0.1,0.5,303,14.603,2,100,15506,7699,4447,27324,20251030
0.7,0.9,0.0,303,14.604,2,100,758,58250,22522,65535,20251030
0.9,0.8,0.7,303,14.606,2,100,22046,52515,28828,65535,20251030
0.2,0.5,0.0,303,14.607,2,100,547,32492,7551,35890,20251030
0.7,0.6,0.7,303,14.608,2,100,21775,39424,22629,65535,20251030
0.0,0.7,0.8,303,14.609,2,100,24768,45623,2343,63956,20251030
0.2,0.5,0.5,303,14.611,2,100,15645,32595,7863,50076,20251030
0.6,0.9,0.6,303,14.612,2,100,18978,58667,20082,65535,20251030
0.5,0.3,0.4,303,14.613,2,100,12584,20403,16414,42604,20251030
0.4,0.4,0.1,303,14.614,2,100,3670,26268,13210,37787,20251030
0.2,0.1,0.6,303,14.616,2,100,18557,7818,7499,32631,20251030
0.6,0.4,0.9,303,14.617,2,100,27843,27075,19637,63304,20251030
0.5,0.5,0.5,303,19.765,2,100,15337,32274,15671,50761,20251030
